Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
32086,0,0.216962203,67,0,0.361788618,7133.0,11,0,2,0,0.0
93169,0,0.210757619,46,0,198.0,,3,0,0,0,
145640,0,0.10465277,34,1,1.002903039,5166.0,9,0,1,0,2.0
14969,1,1.00159968,42,1,0.083563748,3254.0,3,1,0,0,4.0
140803,1,0.0,28,0,0.008972268,2451.0,1,0,0,0,0.0
78076,1,0.0,55,0,14.0,,8,0,0,0,0.0
45285,0,0.232504999,22,0,0.0059985,4000.0,3,0,0,0,0.0
102407,1,1.005367252,45,2,0.576864324,7200.0,4,0,1,0,1.0
134635,0,0.154170231,44,0,0.448137966,4000.0,9,0,1,0,3.0
91399,0,0.023586848,37,0,0.361957429,9583.0,8,0,3,0,2.0
45829,0,1.099800399,26,0,0.188801639,2928.0,7,0,0,0,0.0
53053,0,0.434324152,38,0,0.32685165,4576.0,4,0,1,0,2.0
95364,1,0.117239155,27,0,0.025371829,8000.0,6,0,0,1,0.0
126885,1,1.139534884,25,2,0.048138056,1100.0,4,2,0,0,0.0
1254,0,0.037273952,63,0,0.953488372,1805.0,8,0,1,0,0.0
83374,0,0.284371373,55,0,1.096686224,12100.0,20,0,6,0,3.0
32281,1,0.9999999,53,0,173.0,,2,0,0,0,0.0
43704,0,0.000177776,33,0,0.420225682,7000.0,14,0,2,0,2.0
61421,0,0.000553562,59,0,3244.0,0.0,9,0,1,0,0.0
97395,0,0.746804018,62,0,0.382289417,8333.0,11,0,3,0,1.0
88275,1,0.982265266,29,0,0.137353963,9500.0,7,0,0,0,2.0
122787,1,0.67555272,34,2,0.119320076,9000.0,15,0,0,0,1.0
144587,1,0.9999999,60,98,0.0,1375.0,0,98,0,98,0.0
118706,0,0.367966548,32,0,0.584622943,4070.0,8,0,2,0,1.0
27891,0,0.031926819,52,0,0.004772727,4399.0,2,0,0,0,2.0
140522,1,0.667205798,51,1,0.542664819,5050.0,11,0,0,0,0.0
145811,0,0.600025395,53,1,0.456743869,2935.0,8,0,1,0,1.0
13407,1,0.752066116,32,0,0.062734316,4000.0,3,0,0,0,1.0
121965,0,0.154615128,40,0,0.077141383,3875.0,1,0,0,0,0.0
102882,1,0.992781788,29,1,108.0,,3,2,0,1,0.0
145633,1,0.938026549,41,1,0.614992282,14900.0,20,0,10,0,1.0
41211,1,0.577449623,35,1,0.47316072,6333.0,6,0,2,0,0.0
141512,0,0.699692198,35,0,1410.0,,5,0,0,0,0.0
148540,1,1.359550562,55,3,0.300779459,2180.0,7,0,1,0,2.0
13418,0,0.98640136,51,0,0.591626974,3988.0,6,0,1,0,0.0
65197,1,0.962518741,47,0,188.0,,6,0,0,0,2.0
63455,0,0.038855755,54,0,0.277404108,5500.0,7,0,2,0,0.0
57613,0,0.805734075,48,0,0.664075514,1800.0,10,0,0,0,0.0
139038,1,0.739417372,47,0,0.308138372,5000.0,5,0,1,0,1.0
5596,0,0.0239988,39,0,0.138111431,3822.0,7,0,0,0,0.0
76409,0,0.060546722,48,0,1184.0,1.0,15,0,2,0,1.0
116708,1,0.155414833,47,0,0.320244328,4583.0,7,0,2,0,0.0
77140,0,0.087120801,66,0,0.368794326,1550.0,9,0,0,0,0.0
14301,0,0.933992024,61,0,0.782475234,7166.0,10,0,2,0,0.0
64950,1,0.459882028,58,3,1.181818182,4300.0,10,1,2,3,0.0
148301,0,0.001798079,47,0,0.011747063,4000.0,9,0,0,0,0.0
115115,1,0.110377512,51,0,0.619532199,6583.0,12,0,3,0,0.0
106501,1,0.9999999,40,0,0.154759022,4128.0,2,5,2,0,0.0
73352,0,0.11368376,52,0,0.263086846,6666.0,10,0,1,0,0.0
18455,1,0.301727992,61,2,0.550543024,3590.0,8,0,2,0,2.0
148818,0,0.9999999,36,0,0.689006467,1700.0,3,0,0,0,1.0
107352,1,1.192012289,42,2,0.449278268,4987.0,5,3,2,2,2.0
129451,1,0.9999999,34,0,0.131401449,4002.0,2,1,0,0,4.0
41692,0,0.002816212,51,0,3143.0,,8,0,1,0,0.0
130352,0,0.150353721,55,0,0.341182767,7473.0,15,0,2,0,0.0
147084,1,0.244349718,64,0,1.225050916,981.0,13,0,1,0,0.0
11647,1,0.784053156,34,0,0.077909828,5300.0,3,3,0,0,0.0
23618,0,0.0,65,0,3936.0,,7,0,2,0,0.0
50801,1,0.713950057,46,1,0.743714026,3300.0,8,0,1,0,2.0
132103,0,0.523940141,53,0,1.088782244,3333.0,9,0,1,0,2.0
79441,1,0.629914664,66,1,0.587872892,3083.0,14,0,1,0,0.0
127186,1,0.025192896,39,0,0.617676465,5000.0,8,0,2,0,2.0
18489,1,0.60412637,22,0,0.163047225,2900.0,4,0,0,0,3.0
111451,0,0.0,57,0,1855.0,,6,0,1,0,0.0
55764,0,1.02360501,65,0,0.876425856,2629.0,5,0,1,0,0.0
15058,0,0.0,64,0,1689.0,,3,0,1,0,0.0
40876,1,1.258637155,33,0,3.667732907,2500.0,12,0,7,0,0.0
14911,1,0.263988132,56,0,1.382923415,5000.0,13,0,4,0,0.0
133620,1,0.945007548,30,0,0.086608927,1500.0,2,0,0,0,0.0
117995,0,0.702059588,58,0,0.034988337,3000.0,2,0,0,0,1.0
130954,1,0.547351615,58,1,0.506438468,6134.0,12,1,1,0,1.0
19902,1,0.945729791,41,0,259.0,,4,2,0,2,0.0
147434,1,1.030125842,36,1,0.836628039,4400.0,10,1,2,0,2.0
145447,0,0.11425397,60,0,1.167466575,5833.0,10,0,1,0,0.0
8000,0,0.337541426,65,0,0.216756043,12866.0,12,0,1,0,0.0
134034,1,0.574249405,66,0,0.268244898,12249.0,14,0,2,0,2.0
147016,0,0.007347285,52,1,0.280898876,5517.0,6,0,1,0,0.0
36654,1,0.011595931,64,0,0.459478758,2800.0,10,0,0,0,0.0
119366,1,0.980868025,42,5,0.415362898,8500.0,20,0,1,0,1.0
145150,0,0.9999999,36,3,3539.0,,4,2,2,1,1.0
124773,1,0.550898204,44,0,0.075291622,6600.0,5,1,0,1,1.0
70411,1,0.846555097,28,0,0.609770688,5014.0,9,0,2,1,0.0
134603,0,0.054904308,66,0,111.0,,7,0,0,0,0.0
14815,0,0.454508261,61,0,0.375770705,6000.0,12,0,1,0,1.0
32886,1,1.868263473,51,2,1571.0,,2,1,1,0,0.0
757,0,0.0,55,0,0.369192131,7166.0,7,0,3,0,1.0
59983,0,0.9999999,57,0,4189.0,,3,0,2,0,0.0
147410,1,0.568882,43,1,0.187384045,2155.0,3,1,0,1,0.0
59723,1,1.066518847,38,1,0.510655248,5020.0,9,1,1,0,1.0
131716,1,0.9999999,36,1,0.257020466,2100.0,6,0,0,0,1.0
43325,1,0.788673071,51,0,0.633749098,9700.0,11,0,5,0,2.0
69077,0,0.147480799,55,0,0.917737789,3500.0,15,0,1,0,1.0
111763,0,0.041766708,78,0,69.0,,4,0,0,0,
56022,0,0.031322378,72,0,0.174117647,3399.0,7,0,0,0,0.0
140689,1,0.924415117,57,1,0.633252493,3710.0,4,6,1,0,5.0
35454,1,1.257881381,25,0,0.669402985,2679.0,8,0,0,0,1.0
75755,0,0.06414275,83,0,1.099189021,3205.0,13,0,1,0,0.0
125350,0,0.490392126,29,4,0.292019347,3307.0,9,0,0,0,2.0
135154,0,0.022409929,36,0,0.000956328,3136.0,3,0,0,0,0.0
107208,1,0.9999999,24,1,0.148243359,3500.0,2,1,0,0,0.0
7711,1,0.042837823,75,0,0.473276991,8400.0,17,0,2,0,0.0
121651,0,0.30793977,56,0,0.409504663,17906.0,26,0,2,0,3.0
69835,1,0.050542926,71,1,0.184942206,3200.0,7,0,0,0,0.0
52001,1,0.9999999,35,0,66.0,,0,1,0,0,0.0
102468,1,0.916297975,37,0,0.601399767,6000.0,16,0,2,0,1.0
114729,0,0.184450353,45,0,0.392331933,9519.0,10,1,3,0,0.0
47889,0,0.9999999,29,1,233.0,,1,0,0,0,0.0
99106,1,0.334614352,55,0,0.970068027,6614.0,22,0,7,0,6.0
120572,1,0.931098227,35,2,0.431253529,7083.0,16,0,1,1,4.0
136417,1,0.9999999,34,1,0.749765698,3200.0,7,0,2,0,2.0
69591,0,0.488073132,54,0,0.285142971,5000.0,8,0,2,0,0.0
668,1,1.248751249,33,0,0.175120326,2700.0,3,2,0,0,0.0
6552,0,0.847757783,34,0,0.097468771,6083.0,9,0,0,0,0.0
68628,1,1.309612984,23,1,0.331138288,2125.0,4,0,0,0,1.0
34036,1,0.9999999,31,0,0.0,4000.0,0,1,0,0,1.0
124962,1,0.9999999,44,0,0.064138842,5300.0,1,1,0,0,2.0
41876,1,0.00505439,76,0,1461.0,,2,0,1,1,
531,0,0.0,82,0,0.0,,3,0,0,0,0.0
93095,1,0.894282879,34,0,0.244787204,3500.0,5,0,0,0,1.0
78251,0,0.076263925,31,0,0.00159968,5000.0,3,0,0,0,1.0
73642,0,0.06489329,72,0,1383.0,,10,0,1,0,0.0
37500,0,0.002582213,69,0,1670.0,,11,0,1,0,0.0
35998,0,0.020515747,50,0,0.245448415,2965.0,9,0,1,1,2.0
148574,1,0.373138436,60,2,0.33000997,7020.0,21,0,1,0,3.0
58305,0,0.028608979,36,1,0.176213289,4800.0,4,0,0,0,2.0
114725,1,0.854705559,40,0,0.021025371,78000.0,6,0,1,0,2.0
44172,0,0.081727464,45,0,1291.0,0.0,5,0,1,0,3.0
54060,0,0.159358557,60,2,0.233233897,9050.0,15,0,2,0,0.0
37686,0,0.0,27,0,0.233906437,2500.0,5,0,0,0,1.0
26,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0
104850,0,0.512911005,38,1,0.194280908,3566.0,3,0,0,0,0.0
99788,0,0.637310796,47,1,0.478736169,7500.0,16,0,2,0,1.0
46921,1,0.442370466,50,0,0.346145301,4500.0,6,0,2,0,0.0
67400,0,0.052977226,62,0,0.344618242,14000.0,16,1,1,0,0.0
20866,0,0.9999999,45,0,1.477184841,1292.0,3,0,1,0,2.0
98474,1,1.584097859,37,4,0.186833283,3280.0,7,1,0,0,0.0
34296,1,0.472065144,60,1,0.518784972,1250.0,9,0,0,2,0.0
65874,1,0.98656215,46,0,0.911772057,4000.0,9,1,2,0,1.0
66672,0,0.487451255,34,0,0.368959771,4200.0,5,0,0,0,2.0
146563,1,0.884744173,63,0,0.419961822,7333.0,9,0,1,0,0.0
62520,0,0.09599474,52,0,0.007026078,7400.0,4,0,0,0,1.0
29373,0,0.151722365,48,0,0.085140175,85000.0,16,0,3,0,3.0
101648,1,0.521113305,50,1,0.478695585,6500.0,11,1,2,0,3.0
69729,0,0.954136391,54,0,0.550821233,4200.0,4,0,1,0,3.0
857,1,0.778719498,81,0,0.53801306,4287.0,11,0,2,0,0.0
112320,1,0.497543138,40,0,0.19853431,1500.0,4,2,0,0,0.0
16707,0,0.061384478,51,0,3347.0,,9,0,2,0,0.0
74994,0,0.535962335,52,0,0.41085117,10044.0,17,0,2,0,3.0
71611,0,0.010679197,55,0,0.072963035,10333.0,8,0,1,0,1.0
56747,1,0.9999999,49,0,0.182101295,6100.0,5,0,0,0,0.0
79554,1,0.9999999,27,98,0.0,,0,98,0,98,0.0
78850,0,0.63129568,55,1,5225.0,,8,2,2,0,
22866,0,0.755390495,33,0,0.343142842,19300.0,8,0,2,0,0.0
143190,1,1.056250806,67,1,2562.0,,6,1,1,1,0.0
35076,1,0.958833589,33,1,1.426946632,8000.0,9,0,3,0,0.0
111633,1,0.208120329,58,0,0.189450095,5800.0,11,0,0,0,1.0
82901,1,0.252745291,63,1,2290.0,,7,0,1,0,0.0
104747,0,0.9999999,77,0,26.0,,1,0,0,0,
77435,0,0.166247339,60,0,0.168262072,4700.0,4,0,0,0,0.0
134276,0,0.000823856,66,0,0.278417735,4600.0,16,0,1,0,0.0
114649,0,0.0,57,0,0.23423536,16000.0,5,0,3,0,2.0
93947,0,0.059019599,40,0,0.335375973,7832.0,9,0,1,0,0.0
54597,0,0.018571922,72,0,0.109378124,5000.0,19,0,0,0,0.0
138558,1,0.565141887,37,0,0.74625075,5000.0,8,0,1,0,2.0
136231,0,0.00269706,65,0,623.0,,10,0,1,0,0.0
88191,1,0.041555043,54,1,0.13476742,5438.0,8,0,1,2,0.0
33003,0,0.9999999,60,0,0.022584228,2700.0,0,2,0,0,0.0
